,Hospital_name,Rating,No_of_people_rated,Type,Address,Phone_number,Highlighted_review
158,Panacea Hospital,No reviews · Hospital,'No,',,None,
159,Sita Bhateja Speciality Hospital,5.0,'(1)', 'Private',"146, Infantry Rd",080 4030 2700,
160,Seventh Day Adventist Medical Centre,3.8,'(478)', 'Specialized',"8, Spencer Rd", 080 2536 0190,"""Hospital is very clean and hygiene..Excellent service of Doctors, Nurses and front desk staffs."""
161,Acharya Tulsi Jain Hospital,4.3,'(190)', 'Hospital',"22, 21, 6th Cross Rd", 080 2337 4677,"""... this medical or surgical treatment in Acharya Tulsi Jain Hospital 🏥"""
162,Jayadev Memorial Rashtrotthana Hospital and Research Centre,4.7,'(393)', 'General',WG57+JFF, 080 6923 9999,"""Good service thanks to Dr.rajendran sir, and Ms.Ranjan insurance disk she is help to my insurance claim process once again thank you Ms ranjan mam and all staff"""
163,Sparsh Hospital For Advanced Surgery (former Sita Bhateja Speciality Hospital- now merged),4.7,'(651)', 'Private',"146, Infantry Rd, opp. Police Commissioners Office",080 4030 2700,
164,Sahasra Hospitals Jayanagar | Surgical Gastroenterologist | Bariatric Treatment Bangalore,4.5,'(126)', 'Hospital',Kanakapura Rd, 098801 05829,"""The treatment in the hospital is very nice and effective, doctors are very friendly and responsive ,best doctor ever met in life Dr Shrikanth sir is ultimate doctor ever met..."""
165,Vanivilas Children's Hospital,3.0,'(21)'," ""Children's""","Krishna Rajendra Rd, near CITY MARKET", 080 2670 9145,
166,"Rainbow Children's Hospitals & BirthRight, Marathahalli, Bengaluru, Best Maternity Hospital",4.5,'(10T)', 'Hospital',"Survey No. 8/5, Marathahalli-KR Puram, Outer Ring Rd", 080 3783 6516,"""Good Hospital for Children and Mother Bannerghatta hospital rainbow 🌈"""
167,Blue Bliss Hospital,4.3,'(365)', 'Hospital',"65, 1st Main Rd", 099808 26111,"""Well hygienicaly maintained,good service and best followed insurance claim process."""
168,Narayana Health City,4.8,'(3.3T)', 'Hospital',"258/A, Bommasandra Industrial Area Anekal, Hosur Rd", 080675 06870,"""... well maintained, functional, friendly Doctors and staffs."""
169,Government Hospital,3.8,'(49)', 'Hospital',"XHM4+Q3V, 20th Main Rd", 080 2332 4112,
170,K.C. General Hospital,3.2,'(677)', 'Government',"Ground, Malleswaram Circle, Police Station Rd", 080 2334 1771,"""Doctor Manjula is very professional."""
171,"Fortis Hospital Bangalore | Best ENT and Head, Neck Surgery in Bangalore - Fortis Hospital Nagarbhavi",3.3,'(9)', 'Hospital',"Building No. 119, Survey No, Fortis Hospital, Cabin No : 345, 23, 80 Feet Main Rd", 095910 35258,
172,St John Medical College And Hospital,1.7,'(23)', 'Hospital',Main Road,080 2206 5000,"""From billing department who makes final billing his behaviour is useless."""
173,Shiva Nursing Home,4.4,'(42)', 'Hospital',"No 310/20, Opp K J High School, 7th Main Road, Lakkasandra Extension, Wilson Garden",Open 24 hours,"""Dr Geetha is very good doctor"""
174,Command Hospital Airforce,4.0,'(933)', 'Military',"XJ7H+V6F, Cambridge Rd", 080 2536 9020,"""Very good service....Exallant treatment..."""
175,"Fortis Hospital Bangalore | Best Gastroenterology Hospital in Nagarbhavi, Bangalore",No reviews · Hospital,'Building', 'No.',Open 24 hours,None,
176,Gosha Maternity Hospital,3.3,'(19)', 'Hospital',"OPD Ward, Sir Haji Ismail Gosha Hospital, Bowring Hospital Rd",Open 24 hours,
177,Ayaansh Hospital (IVF FERTILITY AND BIRTHING CENTRE IN BANGALORE),4.9,'(132)', 'Private',"510, Chinmaya Mission Hospital Rd", 080 2296 0390,"""Dr Haritha is a very kind and warm person I have come across."""
178,Specialist Health System Pvt Limited,1.7,'(6)', 'Hospital',"216, 7th Main Rd", 081510 62222,
179,HItech Kidney Stone Hospital,3.9,'(35)', 'General',"No. 6/7, kumara Park East, Crescent Road Behind Sindhi High School", 098440 75372,
180,"Practo Hospitals - Neo | Advanced treatment for Piles, Orthopedics, Gynecology, Plastic Surgery in Electronic City, Bangalore",4.3,'(442)', 'Hospital',"1, Sy. No. 110/4, Rebus Realm, Neeladri Main, Road", 080 4848 4789,"""THE BEST HOSPITAL IN ELECTRONIC CITY"""
181,Bangalore Institute of Gastroenterology. Super Speciality Hospitals,4.3,'(572)', 'Gastroenterologist',"100 Feet Road, 34, Ashoka Pillar Rd", 080677 79711,"""One of the best hospital for gasentrology."""
182,Tara Day Care Hospital - Best Emergency Hospital in JP Nagar 8th Phase Bangalore,3.7,'(42)', 'Private',"179/2, Gottigere - Kengeri Rd, near Vinayaka Theatre", 099167 67744,"""thank you tara hospital 💐💐💐💐"""
183,Sefa Hospital,No reviews · Hospital,'XHMW+RWM,',,None,
184,Corporation Hospital,3.2,'(6)', 'Hospital',"XJ52+J7Q, 10th Cross Lakshmi Rd",Open now,
185,Mathrushree Hospital,4.2,'(33)', 'General',"Bengaluru, Karnataka",Open 24 hours,"""One of the best doctors I have seen in recent times."""
186,BBMP Dasappa Hospital,4.3,'(38)', 'Hospital',"XH7M+JPW, SP Road",None,
187,Kolanbiya Hospital,No reviews · Hospital,'XHCV+JRP',,,None,
188,RR multispeciality hospital,4.4,'(161)', 'Hospital',"Magadi main road 11/1 old no 40, b block, KHB Colony",095385 38777,"""Superbb hospital very good treatment good doctor's"""
189,Jk Hospital And Diagnostic,3.7,'(34)', 'Hospital',"187, Khan Bahadur Abdul Rehman Rd", 098450 33228,"""... all to visit once if in any emergency situation"""
190,Multi speciality hospital,5.0,'(1)', 'Hospital',"315, Begur Rd",None,
191,"Travellers Clinic, KIMS Hospital",3.1,'(47)', 'Hospital',"OPD No. 12, Ground Floor, B Block, KIMS Hospital, Krishna Rajendra Rd", 080 2662 4870,"""One of the well known hospital in the city"""
192,Sakra World Hospital,4.0,'(9)', 'Hospital',1800 202 4969,None,
193,Hosmat Hospital - Orthotics,4.7,'(31)', 'Hospital',"13, Palmgrove Rd", 080 2559 3796,"""Excellent place for prosthetics and orthotics devices"""
194,Tathagat Heart Care Centre & Hospital (Dr Mahantesh R Charantimath),4.2,'(32)', 'Heart',"31/32, Crescent Rd", 099003 56000,
195,Bhagwan maharaj Jain hospital,No reviews · General hospital,'XHQV+R4V',,,None,
196,Shilpa Hospital,4.5,'(2)', 'Hospital',"XJQ3+876, HKP Road",None,
197,Institute of Nephro Urology,3.7,'(129)', 'Specialized',"XH6F+Q47, Victoria Hospital Campus, Alur Venkata Rao Rd", 080 2670 0527,
198,Victoria Hospital Old OPD,3.4,'(7)', 'Hospital',XH7G+F59,Open ⋅ Closes 4 pm,
199,Dr.Solanki Eye Hospital - Best eye Hospital in Bangalore - Malleshwaram,4.8,'(1.3T)', 'Hospital',"191/1, Link Road, 2nd Cross Rd", 080 2356 2299,"""Good facilities, competant staff, patients well taken care"""
200,Best Hospital in Bengaluru - Piles | Fissure | Fistula | Circumcision | Hernia | Varicose veins,4.6,'(390)', 'Hospital',"No 43, Dickenson Rd, next to Hasanath College", 063664 48688,
201,Bhagawan mahavir jain hospital,5.0,'(3)', 'Hospital',"IBM India Pvt Ltd D3 Block, Vittal Mallya Rd",None,
202,Sagar Hospital,4.7,'(3)', 'Hospital',"Bengaluru, Karnataka",None,
203,HCG Hospital,3.4,'(210)', 'Hospital',"3, 8, P, Kalinga Rao Rd",074064 99999,"""312 room number..House keeping service excellent ..."""
204,CAVALIER HOSPITAL Best ENT Hospital Dr.Srinivas Kunku,4.0,'(192)', 'Hospital',"410, 5th A Cross Rd", 099029 51951,"""Good Service, Quality & well hygiene maintained hospital."""
205,"Railway hospital , cantonment board , benglore",3.0,'(1)', 'Hospital',"165, Thimmaiah Rd",None,
206,Audikesh Hospitals Private Limited,No reviews · Hospital,'No.2C/330,',,None,
207,Sir Haji Ismail Gosha Hospital,4.6,'(7)', 'Hospital',"XHMX+JJH, Venkataswamy Naidu Rd",None,
208,Sri Shankara AyurVAID | Shankara Cancer Hospital | Best Cancer Hospital in Bangalore,4.4,'(14)', 'Hospital',"Ground Floor & Third Floor, Sharada Krupa, SSHRC Campus Shankarapuram", 096112 02918,
209,"Milann JP Nagar Fertility & Birthing Hospital, IVF Center",4.7,'(1.3T)', 'Maternity',"#1109, 24th Main Rd", 080 2201 1340,"""The best maternity hospital."""
210,Ring Road Hospital,4.4,'(27)', 'Hospital',"165, 1st Main Road, Kathreguppe Cross Road", 080 2679 7040,"""DR SUBRAMANYA HE IS ONE OF THE VERY VERY NICE"""
211,Dr.T.V. Ramesh Hospital,3.7,'(81)', 'Private',"No 18/10-1, 7th Cross, 1st Main Rd", 080 4117 2700,"""Always I think doctors are god"""
212,Brains Hospital,5.0,'(2)', 'Hospital',"#5, Richmond Rd, opp. Baldwin School", 091480 80000,
